	cluster_id	text
373	12	torsafe
374	8	bloomsfield
375	2	dump
376	9	soylentnews
377	4	jesus
378	12	growers
379	7	dedope
380	6	rent
381	3	ppshop
382	15	gun
383	9	directory
384	9	test
385	9	umbrella
386	7	duckduckgo
387	15	tnc
388	9	original
389	7	begin
390	10	fuckyou
391	9	bitcoin
392	12	hide
393	9	anonhosting
394	2	cocaine
395	9	hide
396	5	anonymous
397	3	hide
398	3	hide
399	2	lim
400	10	apples
401	6	schwarzes
402	15	spot
403	15	forum
404	4	onionweb
405	9	search
406	15	sipulikanava
407	9	maxima
408	15	contact
409	9	voucherchange
410	1	bryem
411	8	developer
412	6	secret
413	2	card
414	3	hide
415	15	model
416	9	bitiply
417	8	hear
418	8	book
419	9	counterfeit
420	9	evolution
421	14	must
422	11	cyruserv
423	13	cashy
424	5	eviano
425	5	main
426	3	hide
427	12	rise
428	8	evolution
429	9	buy
430	13	scilog
431	7	cat
432	9	boys
433	4	share
434	9	executive
435	9	homehosting
436	9	btcmix
437	9	executive
438	14	evil
439	5	cannabisuk
440	9	hide
441	9	counterfeit
442	10	domain
443	10	girls
444	4	usa
445	11	russian
446	9	free
447	10	domain
448	9	globaleaks
449	10	zines
450	4	iphone
451	1	
452	2	key
453	2	substans
454	9	onionwallet
455	7	uploader
456	2	bitcoin
457	13	compendium
458	5	spreadit
459	7	pharma
460	9	matrix
461	11	welcome
462	3	infotomb
463	9	general
464	9	mcfc
465	3	hide
466	3	hide
467	7	torrents
468	9	smarky
469	15	green
470	15	physical
471	9	hostname
472	1	webuybitcoins
473	2	apple
474	9	identity
475	2	brute
476	4	hqer
477	9	brave
478	9	hostname
479	9	infotomb
480	11	russian
481	9	send
482	9	torlinks
483	5	torch
484	10	avalanche
485	4	real
486	9	outlaw
487	7	ico
488	7	cstore
489	10	amberoad
490	9	celebrity
491	15	uncensored
492	9	plastic
493	1	ccpal
494	1	seem
495	13	idc
496	9	bitmixer
497	13	old
498	12	hide
499	10	domain
500	9	black
501	12	green
502	10	domain
503	9	price
504	6	sea
505	12	sigaint
506	13	benjamin
507	9	download
508	7	ico
509	8	automate
510	1	cryptoidmonkies
511	2	welcome
512	10	domain
513	8	nntp
514	9	cannabisuk
515	9	liberty
516	2	brainmagic
517	12	browse
518	10	domain
519	1	bryem
520	2	brainmagic
521	3	bittit
522	14	torbox
523	5	registration
524	4	begin
525	15	paste
526	1	webuybitcoins
527	4	deep
528	5	smokeables
529	12	onionup
530	12	freefor
531	9	shadow
532	3	hide
533	9	weed
534	2	log
535	2	read
536	7	cat
537	15	gun
538	9	appletor
539	7	secret
540	10	autoindex
541	8	kamagra
542	14	overchan
543	9	free
544	9	repository
545	9	bitcoin
546	9	ahmia
547	15	torsearch
548	15	decrypt
549	11	welcome
550	6	rent
551	7	gopher
552	9	rootz
553	9	cocaine
554	14	message
555	3	hide
556	9	hack
557	3	hide
558	8	kamagra
559	8	bye
560	9	evolution
561	12	apple
562	2	lim
563	9	test
564	9	another
565	14	secure
566	2	tasweb
567	2	bitcoin
568	9	maintainance
569	9	welcome
570	4	hide
571	9	products
572	2	hello
573	9	repository
574	2	welcome
575	1	support
576	15	main
577	9	shop
578	7	secret
579	9	samwhited
580	2	hello
581	12	hide
582	9	cheap
583	6	naturist
584	3	hide
585	7	onionchat
586	4	onionwallet
587	5	boy
588	10	guide
589	9	dexters
590	10	domain
591	7	bitball
592	7	euro
593	7	bee
594	9	neutralize
595	13	outlaw
596	9	multiverse
597	6	int
598	9	hide
599	7	cstore
600	9	hostname
601	9	uncensored
602	13	armory
603	8	weedstore
604	12	onionup
605	9	evolution
606	4	torshops
607	5	amazingcc
608	9	surveillance
609	3	hide
610	14	cleancoin
611	9	double
612	13	work
613	5	torch
614	9	maintainance
615	9	xanatos
616	9	buy
617	5	sivu
618	7	ico
619	9	example
620	1	pot
621	10	iphone
622	9	hive
623	9	passports
624	9	products
625	2	iphones
626	9	maintainance
627	3	nov
628	9	maintainance
629	4	hqer
630	9	yprayforjapan
631	15	thorlauta
632	7	euro
633	2	brainmagic
634	14	real
635	15	sipulikanava
636	15	category
637	7	begin
638	3	hide
639	14	football
640	4	hide
641	3	tiny
642	15	ship
643	8	original
644	9	maintainance
645	7	rhodium
646	12	growers
647	13	ppp
648	2	bitcoin
649	15	wall
650	13	usjud
651	10	iphone
652	11	cresil
653	13	old
654	9	cyruserv
655	2	brainmagic
656	2	new
657	5	smokeables
658	9	people
659	9	cat
660	9	beneath
661	12	sae
662	9	registration
663	9	people
664	13	service
665	15	register
666	3	host
667	13	hide
668	9	evolution
669	8	ccpal
670	5	main
671	4	twizz
672	9	jailbait
673	9	bitmessage
674	9	yet
675	9	premium
676	3	bitcoin
677	15	boy
678	6	high
679	4	hqer
680	9	people
681	13	bitpharma
682	9	torads
683	9	intel
684	1	cryptonion
685	9	unique
686	3	eucanna
687	7	kitty
688	2	brainmagic
689	9	sigaint
690	9	paypal
691	12	ctl
692	3	samsung
693	12	euro
694	9	berich
695	5	lol
696	9	upa
697	15	black
698	9	euro
699	9	torshops
700	3	clean
701	2	shadow
702	10	domain
703	10	code
704	10	apples
705	2	welcome
706	4	deep
707	5	cannabisuk
708	9	fawkeshacking
709	2	brainmagic
710	9	identity
711	7	italian
712	6	sea
713	9	date
714	5	expert
715	9	dns
716	9	sigaint
717	3	bitlaundry
718	15	dark
719	9	helix
720	7	dedope
721	4	share
722	14	evil
723	4	real
724	14	easycoin
725	7	dedope
